Prospect.Name,Parish,Source,wellname,label,Wells.drilled,long,lat,Depth (ft),Average.thickness.ft,Area.SqMi,Pressure (psi),Temp. (degree F),Salinity (ppm TDS),Gas/Brine Ratio (SCF/STB),Flow Rate (BPD) ,Methane (mol %) ,CO2 (mol%),Other Gases (mol%),Porosity ,Permeability (mD),Well.tests,wells.cored
,,Source 2 (well name),Delcambre 3sd,Delcambre 3sd,,-92.37,29.89,-12869,,,11012,238,133300,24,10333,92.8,1.1,6.1,26,44,,
,,Source 2 (well name),Delcambre 1sd,Delcambre 1sd,,-92.385,29.95,-12573,,,10858,234,113000,24,12653,95.4,2,2.6,29,364,,
,,Source 2 (well name),Buelah Simon,Buelah Simon,,-92.48,29.97,-15781,,,12220,270,190904,24.9,7747,89.6,7.9,2.5,19.3,14.3,,
,,Source 2 (well name),F.F. Sutter,F.F. Sutter,,-91.51,29.77,-14722,,,13015,266,103925,24,11000,88.9,7.7,3.4,17.4,11.6,,
,,Source 2 (well name),P.R. Giroud ,P.R. Giroud ,,-92.09,30.2,-14744,,,13203,274,23500,44.5,15000,91.3,6,2.7,26,220,,
,,Source 2 (well name),P. Canal,P. Canal,,-93.24,30.15,-14976,,,12942,294,43400,47,7100,88.4,8.4,3.2,22.5,90,,
,,Source 2 (well name),C. Zellerback,C. Zellerback,,-90.7,30.45,-16720,,,10144,330,31700,55.7,3887,71,23.5,5.5,17,14.1,,
,,Source 2 (well name),Amoco Fee - Sweet Lake ,Amoco Fee - Sweet Lake ,,-93.26,29.92,-15387,,,11974,298,160000,34,34000,88.7,8.6,2.6,20,400,,
,,Source 2 (well name),Parcperdue - L. R. Sweezy No. 1,Parcperdue - L. R. Sweezy No. 1,,-91.98,30.09,-13395,,,11410,237,99700,30,10000,94,2.5,3.5,29.4,500,,
,,Source 2 (well name),Gladys McCall A,Gladys McCall A,,-92.82,29.75,-15508,,,12936,298,95500,30.4,36000,86.9,9.5,3.6,24,90,,
,,Source 2 (well name),Gladys McCall B,Gladys McCall B,,-92.86,29.79,-15158,,,12821,288,94000,30.4,36000,85.9,10.6,3.5,22,130,,
,,Source 2 (well name),Pleasant Bayou Well No. 1  ,Pleasant Bayou Well No. 1  ,,NA,NA,-16465,,,9800,302,127000,24,25000,85,10,5,19,200,,
,,Source 2 (well name),Hulin No. 1,Hulin No. 1,,-92.2,29.83,-21546,,,18500,360,195000,34,15000,93,4,3,NA,13,,
,,Source 2 (well name),Riddle Saldana No. 2,Riddle Saldana No. 2,,NA,NA,-9745,,,6627,NA,12800,41,1950,75,21.4,3.75,20,7,,
,,Source 2 (well name),Lear Koelemay No. 1,Lear Koelemay No. 1,,NA,NA,-11590,,,9450,260,15000,35,3200,81.4,13.4,5.2,26,85,,
,,Source 2 (well name),Ross Kraft No. 1,Ross Kraft No. 1,,NA,NA,-12750,,,10986,263,23000,45,NA,NA,NA,NA,23,39,,
Eugene Island Block 16,St. Mary,Source 1 (prospect),,Eugene Island Block 16,1,,,-12700,350,54,,,,,,,,,,,0,0
Bayou Hebert ,Vermilion,Source 1 (prospect),,Bayou Hebert ,29,,,-13037,451,72,,230,,,,,,,16,45,9,2
Lake Theriot ,Terrebonne,Source 1 (prospect),,Lake Theriot ,24,,,-12675,463,48,,232,,,,,,,28,103,1,2
South White Lake ,Vermilion & Cameron,Source 1 (prospect),,South White Lake ,17,,,-14500,525,51,,281,,,,,,,12,68,10,3
Ellsworth ,Terrebonne & Lafourche,Source 1 (prospect),,Ellsworth ,17,,,-11785,280,NA,,,,,,,,,,,NA,2
West Cameron Block 26,Cameron ,Source 1 (prospect),,West Cameron Block 26,10,,,-10740,375,54,,,,,,,,,,,1,0
Kaplan,Vermilion,Source 1 (prospect),,Kaplan,17,,,-11800,275,96,,259,,,,,,,23,273,7,5
Spanish Lake,St. Martin ,Source 1 (prospect),,Spanish Lake,11,,,-11622,33,84,,,,,,,,,,,0,0
Stephensville ,St. Martin,Source 1 (prospect),,Stephensville ,11,,,-14990,170,54,,,,,,,,,,,2,1
East Cote Blanche ,Iberia,Source 1 (prospect),,East Cote Blanche ,27,,,-13400,425,60,,,,,,,,,,,14,13
Coteau Charles ,Terrebonne,Source 1 (prospect),,Coteau Charles ,7,,,-13471,374,40,,,,,,,,,,,0,4
Weeks Bay ,Iberia & St. Mary,Source 1 (prospect),,Weeks Bay ,0,,,NA,NA,55,,,,,,,,,,,0,0
Bladwin ,St. Mary,Source 1 (prospect),,Bladwin ,21,,,-12537,215,60,,,,,,,,,,,0,2
Grand Lake ,Iberia & St. Mary,Source 1 (prospect),,Grand Lake ,54,,,-14550,475,49,,240,,,,,,,18,21,4,0
Kraemer ,Lafourche,Source 1 (prospect),,Kraemer ,4,,,NA,NA,40,,,,,,,,,,,0,0
